fund,family,method,rebalance_date,estimation_start,estimation_end,holding_end,observations,turnover,max_weight_observed
Equity Maximum Sharpe,Equity,max_sharpe,2022-02-01,2021-02-02,2022-01-31,2022-02-28,252,0.4205627587685468,0.09999999999999737
Equity Maximum Sharpe,Equity,max_sharpe,2022-03-01,2021-03-02,2022-02-28,2022-03-31,252,0.24645566609703745,0.09999999999999098
Equity Maximum Sharpe,Equity,max_sharpe,2022-04-01,2021-04-05,2022-03-31,2022-04-29,252,0.20607751629029736,0.09999999999996796
Equity Maximum Sharpe,Equity,max_sharpe,2022-05-02,2021-05-03,2022-04-29,2022-05-31,252,0.19824348270746706,0.09999999999999841
Equity Maximum Sharpe,Equity,max_sharpe,2022-06-01,2021-06-02,2022-05-31,2022-06-30,252,0.3725702194408686,0.09999999999997529
Equity Maximum Sharpe,Equity,max_sharpe,2022-07-01,2021-07-01,2022-06-30,2022-07-29,252,0.18147025466021108,0.09999999999998697
Equity Maximum Sharpe,Equity,max_sharpe,2022-08-01,2021-07-30,2022-07-29,2022-08-31,252,0.14234610705189246,0.09999999999999964
Equity Maximum Sharpe,Equity,max_sharpe,2022-09-01,2021-09-01,2022-08-31,2022-09-30,252,0.14639041249699283,0.09999999999999853
Equity Maximum Sharpe,Equity,max_sharpe,2022-10-03,2021-10-01,2022-09-30,2022-10-31,252,0.011736519998324129,0.09999999999998102
Equity Maximum Sharpe,Equity,max_sharpe,2022-11-01,2021-11-01,2022-10-31,2022-11-30,252,0.20000000000013426,0.09999999999999781
Equity Maximum Sharpe,Equity,max_sharpe,2022-12-01,2021-12-01,2022-11-30,2022-12-30,252,0.10000000000002301,0.10000000000016293
Equity Maximum Sharpe,Equity,max_sharpe,2023-01-03,2021-12-31,2022-12-30,2023-01-31,252,0.08873910318674233,0.10000000000037577
Equity Maximum Sharpe,Equity,max_sharpe,2023-02-01,2022-01-31,2023-01-31,2023-02-28,252,0.1913393308565435,0.09999999999999744
Equity Maximum Sharpe,Equity,max_sharpe,2023-03-01,2022-02-28,2023-02-28,2023-03-31,252,0.23820496613555583,0.09999999999999545
Equity Maximum Sharpe,Equity,max_sharpe,2023-04-03,2022-03-31,2023-03-31,2023-04-28,252,0.36231092797450276,0.09999999999998699
Equity Maximum Sharpe,Equity,max_sharpe,2023-05-01,2022-04-28,2023-04-28,2023-05-31,252,0.28952135720177197,0.09999999999998382
Equity Maximum Sharpe,Equity,max_sharpe,2023-06-01,2022-05-31,2023-05-31,2023-06-30,252,0.26226587308531474,0.09999999999995123
Equity Maximum Sharpe,Equity,max_sharpe,2023-07-03,2022-06-30,2023-06-30,2023-07-31,252,0.22857708103820895,0.09999999999999248
Equity Maximum Sharpe,Equity,max_sharpe,2023-08-01,2022-07-29,2023-07-31,2023-08-31,252,0.26121710041277535,0.09999999999997917
Equity Maximum Sharpe,Equity,max_sharpe,2023-09-01,2022-08-31,2023-08-31,2023-09-29,252,0.1930716654941516,0.10000000000010355
Equity Maximum Sharpe,Equity,max_sharpe,2023-10-02,2022-09-29,2023-09-29,2023-10-31,252,0.12915339165691572,0.09999999999999548
Equity Maximum Sharpe,Equity,max_sharpe,2023-11-01,2022-10-31,2023-10-31,2023-11-30,252,0.34069684047849813,0.0999999999999992
Equity Maximum Sharpe,Equity,max_sharpe,2023-12-01,2022-11-30,2023-11-30,2023-12-29,252,0.34566973192858635,0.09999999999999723
Equity Risk Parity,Equity,risk_parity,2021-01-04,2020-01-03,2020-12-31,2021-01-29,252,0.0,0.03927614769039546
Equity Risk Parity,Equity,risk_parity,2021-02-01,2020-01-31,2021-01-29,2021-02-26,252,0.003202853983513049,0.0386114672906017
Equity Risk Parity,Equity,risk_parity,2021-03-01,2020-02-28,2021-02-26,2021-03-31,252,0.004490431485940687,0.038361436392141006
Equity Risk Parity,Equity,risk_parity,2021-04-01,2020-04-01,2021-03-31,2021-04-30,252,0.051770006764761574,0.04557895768445251
Equity Risk Parity,Equity,risk_parity,2021-05-03,2020-05-01,2021-04-30,2021-05-28,252,0.04488019856967084,0.043951566378616136
Equity Risk Parity,Equity,risk_parity,2021-06-01,2020-06-01,2021-05-28,2021-06-30,252,0.029100998792001675,0.03916712819093784
Equity Risk Parity,Equity,risk_parity,2021-07-01,2020-07-01,2021-06-30,2021-07-30,252,0.04334699928910297,0.037270261894494144
Equity Risk Parity,Equity,risk_parity,2021-08-02,2020-07-31,2021-07-30,2021-08-31,252,0.01104825138892592,0.036591875796448
Equity Risk Parity,Equity,risk_parity,2021-09-01,2020-09-01,2021-08-31,2021-09-30,252,0.013094021896856876,0.03836450269214564
Equity Risk Parity,Equity,risk_parity,2021-10-01,2020-10-01,2021-09-30,2021-10-29,252,0.02472401799436754,0.03780288996583167
Equity Risk Parity,Equity,risk_parity,2021-11-01,2020-10-30,2021-10-29,2021-11-30,252,0.018676889891897322,0.038068180302774854
Equity Risk Parity,Equity,risk_parity,2021-12-01,2020-12-01,2021-11-30,2021-12-31,252,0.026995876238168286,0.035183360222665966
Equity Risk Parity,Equity,risk_parity,2022-01-03,2021-01-04,2021-12-31,2022-01-31,252,0.018757972473257188,0.03300216069041878
Equity Risk Parity,Equity,risk_parity,2022-02-01,2021-02-02,2022-01-31,2022-02-28,252,0.03444013193053676,0.036827568742920445
Equity Risk Parity,Equity,risk_parity,2022-03-01,2021-03-02,2022-02-28,2022-03-31,252,0.032201553759337066,0.033624915090672156
Equity Risk Parity,Equity,risk_parity,2022-04-01,2021-04-05,2022-03-31,2022-04-29,252,0.03244831134908928,0.0353590064564181
Equity Risk Parity,Equity,risk_parity,2022-05-02,2021-05-03,2022-04-29,2022-05-31,252,0.024701073022233417,0.03366399387349429
Equity Risk Parity,Equity,risk_parity,2022-06-01,2021-06-02,2022-05-31,2022-06-30,252,0.03200955220224941,0.03609036223856824
Equity Risk Parity,Equity,risk_parity,2022-07-01,2021-07-01,2022-06-30,2022-07-29,252,0.018442673957513277,0.03742547924350293
Equity Risk Parity,Equity,risk_parity,2022-08-01,2021-07-30,2022-07-29,2022-08-31,252,0.010458157156294168,0.036820495981648785
Equity Risk Parity,Equity,risk_parity,2022-09-01,2021-09-01,2022-08-31,2022-09-30,252,0.010626238029495198,0.03609953996291397
Equity Risk Parity,Equity,risk_parity,2022-10-03,2021-10-01,2022-09-30,2022-10-31,252,0.019446020339207164,0.036899483441606415
Equity Risk Parity,Equity,risk_parity,2022-11-01,2021-11-01,2022-10-31,2022-11-30,252,0.017619980766140114,0.04025848531989225
Equity Risk Parity,Equity,risk_parity,2022-12-01,2021-12-01,2022-11-30,2022-12-30,252,0.020539212885016943,0.04538420111704861
Equity Risk Parity,Equity,risk_parity,2023-01-03,2021-12-31,2022-12-30,2023-01-31,252,0.008413611063141173,0.04281951407314374
Equity Risk Parity,Equity,risk_parity,2023-02-01,2022-01-31,2023-01-31,2023-02-28,252,0.008463555594688671,0.04197730897146018
Equity Risk Parity,Equity,risk_parity,2023-03-01,2022-02-28,2023-02-28,2023-03-31,252,0.007942497612652094,0.04262924116448535
Equity Risk Parity,Equity,risk_parity,2023-04-03,2022-03-31,2023-03-31,2023-04-28,252,0.011232237584731972,0.042366896015046646
Equity Risk Parity,Equity,risk_parity,2023-05-01,2022-04-28,2023-04-28,2023-05-31,252,0.00875793643583197,0.04208955791976659
Equity Risk Parity,Equity,risk_parity,2023-06-01,2022-05-31,2023-05-31,2023-06-30,252,0.02182975835100004,0.04249865205848456
Equity Risk Parity,Equity,risk_parity,2023-07-03,2022-06-30,2023-06-30,2023-07-31,252,0.017895736110769965,0.046881144110820845
Equity Risk Parity,Equity,risk_parity,2023-08-01,2022-07-29,2023-07-31,2023-08-31,252,0.008806790866878564,0.04603318374278515
Equity Risk Parity,Equity,risk_parity,2023-09-01,2022-08-31,2023-08-31,2023-09-29,252,0.009016766438717645,0.04486640300819361
Equity Risk Parity,Equity,risk_parity,2023-10-02,2022-09-29,2023-09-29,2023-10-31,252,0.012865816427151972,0.04381597717230282
Equity Risk Parity,Equity,risk_parity,2023-11-01,2022-10-31,2023-10-31,2023-11-30,252,0.02322123506636297,0.04646107307295243
Equity Risk Parity,Equity,risk_parity,2023-12-01,2022-11-30,2023-11-30,2023-12-29,252,0.031577323393350835,0.041595285219535816
Crypto Equal Weight,Crypto,equal_weight,2021-01-01,2020-01-02,2020-12-31,2021-01-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2021-02-01,2020-02-02,2021-01-31,2021-02-28,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2021-03-01,2020-03-01,2021-02-28,2021-03-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2021-04-01,2020-04-01,2021-03-31,2021-04-30,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2021-05-01,2020-05-01,2021-04-30,2021-05-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2021-06-01,2020-06-01,2021-05-31,2021-06-30,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2021-07-01,2020-07-01,2021-06-30,2021-07-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2021-08-01,2020-08-01,2021-07-31,2021-08-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2021-09-01,2020-09-01,2021-08-31,2021-09-30,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2021-10-01,2020-10-01,2021-09-30,2021-10-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2021-11-01,2020-11-01,2021-10-31,2021-11-30,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2021-12-01,2020-12-01,2021-11-30,2021-12-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2022-01-01,2021-01-01,2021-12-31,2022-01-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2022-02-01,2021-02-01,2022-01-31,2022-02-28,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2022-03-01,2021-03-01,2022-02-28,2022-03-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2022-04-01,2021-04-01,2022-03-31,2022-04-30,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2022-05-01,2021-05-01,2022-04-30,2022-05-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2022-06-01,2021-06-01,2022-05-31,2022-06-30,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2022-07-01,2021-07-01,2022-06-30,2022-07-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2022-08-01,2021-08-01,2022-07-31,2022-08-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2022-09-01,2021-09-01,2022-08-31,2022-09-30,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2022-10-01,2021-10-01,2022-09-30,2022-10-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2022-11-01,2021-11-01,2022-10-31,2022-11-30,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2022-12-01,2021-12-01,2022-11-30,2022-12-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2023-01-01,2022-01-01,2022-12-31,2023-01-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2023-02-01,2022-02-01,2023-01-31,2023-02-28,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2023-03-01,2022-03-01,2023-02-28,2023-03-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2023-04-01,2022-04-01,2023-03-31,2023-04-30,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2023-05-01,2022-05-01,2023-04-30,2023-05-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2023-06-01,2022-06-01,2023-05-31,2023-06-30,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2023-07-01,2022-07-01,2023-06-30,2023-07-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2023-08-01,2022-08-01,2023-07-31,2023-08-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2023-09-01,2022-09-01,2023-08-31,2023-09-30,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2023-10-01,2022-10-01,2023-09-30,2023-10-31,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2023-11-01,2022-11-01,2023-10-31,2023-11-30,365,0.0,0.1
Crypto Equal Weight,Crypto,equal_weight,2023-12-01,2022-12-01,2023-11-30,2023-12-31,365,0.0,0.1
Crypto Minimum Variance,Crypto,min_variance,2021-01-01,2020-01-02,2020-12-31,2021-01-31,365,0.0,0.24999999999999997
Crypto Minimum Variance,Crypto,min_variance,2021-02-01,2020-02-02,2021-01-31,2021-02-28,365,0.23361023307350554,0.24999999999999997
Crypto Minimum Variance,Crypto,min_variance,2021-03-01,2020-03-01,2021-02-28,2021-03-31,365,0.18310731088824794,0.25
Crypto Minimum Variance,Crypto,min_variance,2021-04-01,2020-04-01,2021-03-31,2021-04-30,365,0.12704738198798976,0.25
Crypto Minimum Variance,Crypto,min_variance,2021-05-01,2020-05-01,2021-04-30,2021-05-31,365,0.1017917076293158,0.25
Crypto Minimum Variance,Crypto,min_variance,2021-06-01,2020-06-01,2021-05-31,2021-06-30,365,0.13816723932378805,0.25000000000000006
Crypto Minimum Variance,Crypto,min_variance,2021-07-01,2020-07-01,2021-06-30,2021-07-31,365,0.031538988118097806,0.25000000000000006
Crypto Minimum Variance,Crypto,min_variance,2021-08-01,2020-08-01,2021-07-31,2021-08-31,365,0.00861918264061259,0.24999999999999992
Crypto Minimum Variance,Crypto,min_variance,2021-09-01,2020-09-01,2021-08-31,2021-09-30,365,0.03160136899894266,0.2500000000000001
Crypto Minimum Variance,Crypto,min_variance,2021-10-01,2020-10-01,2021-09-30,2021-10-31,365,0.034631756800946545,0.25
Crypto Minimum Variance,Crypto,min_variance,2021-11-01,2020-11-01,2021-10-31,2021-11-30,365,0.008613976676992373,0.25
Crypto Minimum Variance,Crypto,min_variance,2021-12-01,2020-12-01,2021-11-30,2021-12-31,365,0.03923436818059601,0.25000000000000006
Crypto Minimum Variance,Crypto,min_variance,2022-01-01,2021-01-01,2021-12-31,2022-01-31,365,0.027129880713333235,0.2499999999999999
Crypto Minimum Variance,Crypto,min_variance,2022-02-01,2021-02-01,2022-01-31,2022-02-28,365,0.15644375263606775,0.25
Crypto Minimum Variance,Crypto,min_variance,2022-03-01,2021-03-01,2022-02-28,2022-03-31,365,0.06368853785851514,0.25
Crypto Minimum Variance,Crypto,min_variance,2022-04-01,2021-04-01,2022-03-31,2022-04-30,365,0.09673428226792737,0.25
Crypto Minimum Variance,Crypto,min_variance,2022-05-01,2021-05-01,2022-04-30,2022-05-31,365,0.10198114299568896,0.25
Crypto Minimum Variance,Crypto,min_variance,2022-06-01,2021-06-01,2022-05-31,2022-06-30,365,0.2500000000000005,0.24999999999999994
Crypto Minimum Variance,Crypto,min_variance,2022-07-01,2021-07-01,2022-06-30,2022-07-31,365,0.0746034630602535,0.25
Crypto Minimum Variance,Crypto,min_variance,2022-08-01,2021-08-01,2022-07-31,2022-08-31,365,0.10390217071998091,0.25
Crypto Minimum Variance,Crypto,min_variance,2022-09-01,2021-09-01,2022-08-31,2022-09-30,365,0.18184968114782982,0.25
Crypto Minimum Variance,Crypto,min_variance,2022-10-01,2021-10-01,2022-09-30,2022-10-31,365,0.06995397895261093,0.25
Crypto Minimum Variance,Crypto,min_variance,2022-11-01,2021-11-01,2022-10-31,2022-11-30,365,0.0892491793283164,0.25
Crypto Minimum Variance,Crypto,min_variance,2022-12-01,2021-12-01,2022-11-30,2022-12-31,365,0.10590080827143594,0.24999999999999983
Crypto Minimum Variance,Crypto,min_variance,2023-01-01,2022-01-01,2022-12-31,2023-01-31,365,0.024666744070887467,0.25000000000000006
Crypto Minimum Variance,Crypto,min_variance,2023-02-01,2022-02-01,2023-01-31,2023-02-28,365,0.01811265349659834,0.25000000000000006
Crypto Minimum Variance,Crypto,min_variance,2023-03-01,2022-03-01,2023-02-28,2023-03-31,365,0.05974695077300811,0.24999999999999994
Crypto Minimum Variance,Crypto,min_variance,2023-04-01,2022-04-01,2023-03-31,2023-04-30,365,0.047955032528487894,0.25
Crypto Minimum Variance,Crypto,min_variance,2023-05-01,2022-05-01,2023-04-30,2023-05-31,365,0.03137482593931895,0.24999999999999994
Crypto Minimum Variance,Crypto,min_variance,2023-06-01,2022-06-01,2023-05-31,2023-06-30,365,0.0646248088918758,0.24999999999999994
Crypto Minimum Variance,Crypto,min_variance,2023-07-01,2022-07-01,2023-06-30,2023-07-31,365,0.09445181575721112,0.24999999999999994
Crypto Minimum Variance,Crypto,min_variance,2023-08-01,2022-08-01,2023-07-31,2023-08-31,365,0.3394778093655807,0.25
